author,keyword,link,publish_date,source,title,cleaned_content,is_valid
Ni Made Gita Julianti - detikBali,gempa tabanan bali,https://www.detik.com/bali/berita/d-8084016/tabanan-hujan-ringan-cek-prakiraan-cuaca-bmkg-bali-hari-ini-29-agustus-2025,2025-08-29 04:30:00,detik.com,"
        Tabanan Hujan Ringan, Cek Prakiraan Cuaca BMKG Bali Hari Ini 29 Agustus 2025    ",denpasar selamat beraktivitas semeton jangan lupa selalu pantau update cuaca agar aktivitas lancar tanpa hambatanberdasarkan pantauan dari balai besar meteorologi klimatologi geofisika bbmkg secara umum cuaca wilayah bali hari ini jumat 29 agustus 2025 diprediksi berawan dan berpotensi hujan ringan suhu udara berkisar 1929 derajat celsius dengan kelembaban udara berkisar antara 7095 persenberikut prakiraan cuaca bmkg untuk masingmasing kabupatenkota di bali hari ini jumat 2982025 scroll to continue with content kabupaten badungberawansuhu udara 2630c advertisement kelembaban udara 6895kota denpasarberawansuhu udara 2630ckelembaban udara 6587kabupaten banglihujan ringansuhu udara 2128ckelembaban udara 7898kabupaten bulelengberawansuhu udara 2632ckelembaban udara 5783kabupaten gianyarberawansuhu udara 2430ckelembaban udara 8097kabupaten jembranahujan ringansuhu udara 2430ckelembaban udara 7297kabupaten karangasemcerah berawansuhu udara 2430ckelembaban udara 8097kabupaten klungkungberawansuhu udara 2630ckelembaban udara 6282kabupaten tabananhujan ringansuhu udara 2430ckelembaban udara 8798 video bmkg gelar latihan tsunami uji skenario gempa m 92 di utara sumatra video bmkg gelar latihan tsunami uji skenario gempa m 92 di utara sumatra iwsiws cuaca bali 29 agustus 2025 cuaca denpasar 29 agustus 2025 cuaca tabanan 29 agustus 2025 bmkg,True
Sui Suadnyana - detikBali,gempa tabanan bali,https://www.detik.com/bali/berita/d-7831867/gempa-4-3-magnitudo-guncang-tabanan-episentrumnya-di-darat,2025-03-19 21:17:00,detik.com,"
        Gempa 4,3 Magnitudo Guncang Tabanan, Episentrumnya di Darat    ",tabanan gempa bumi tektonik mengguncang tabanan bali rabu 1932025 pukul 2117 wita episenter gempa terletak pada koordinat 859 lintang selatan ls dan 11507 bujur timur bt tepatnya berlokasi di darat pada jarak 8 kilometer km sebelah barat tabanan pada kedalaman 146 kmhasil analisa bmkg menunjukkan bahwa gempabumi ini berkekuatan m 43 kata kepala balai besar meteorologi klimatologi dan geofisika bmkg wilayah iii denpasar cahyo nugroho dalam siaran persbaca juga cek perumahan eks pejuang timtim kajati ntt temukan banyak kerusakanmemperhatikan lokasi episenter dan kedalaman hiposentrumnya gempa bumi tersebut merupakan jenis menengah penyebabnya adalah aktivitas deformasi batuan dalam lempeng indoaustralia intraslab earthquake yang tersubduksi ke bawah lempeng eurasia hasil analisis mekanisme sumber menunjukkan gempa bumi memiliki mekanisme pergerakan turun normal fault scroll to continue with content dampak gempa bumi berdasarkan laporan masyarakat berupa guncangan dirasakan di denpasar kuta gianyar karangasem mataram dan lombok barat getaran di berbagai wilayah itu dirasakan nyata dalam rumah getaran terasa seakanakan ada truk berlaluhingga saat ini belum ada laporan dampak kerusakan yang ditimbulkan akibat gempa bumi tersebut hasil pemodelan tsunami dengan sumber gempa bumi tektonik menunjukkan bahwa gempa bumi ini tidak berpotensi tsunami jelas cahyo advertisement baca juga guru asn perkosa siswi hingga irt tewas minum racun rumputcahyo menegaskan belum ada gempa bumi susulan berdasarkan hasil monitoring bmkg hingga pukul 2133 wita masyarakat diimbau agar tetap tenang dan tidak terpengaruh oleh isu yang tidak dapat dipertanggungjawabkan kebenaranyaselain itu masyarakat diminta agar menghindari bangunan yang retak atau rusak diakibatkan oleh gempa periksa dan pastikan bangunan tempat tinggal anda cukup tahan gempa ataupun tidak ada kerusakan akibat getaran gempa yang membahayakan kestabilan bangunan sebelum anda kembali ke dalam rumah pinta cahyo video tsunami terdeteksi di sejumlah wilayah ri paling tinggi 20 cm video tsunami terdeteksi di sejumlah wilayah ri paling tinggi 20 cm iwsiws gempa tabanan magnitudo 4 undefined bmkg gempa bumi bali tabanan,True
Antara - detikNews,gempa tabanan bali,https://news.detik.com/berita/d-8138724/gempa-m-6-5-sumenep-getaran-terasa-di-blitar-bali-hingga-lombok,2025-10-01 04:30:00,detik.com,"
        Gempa M 6,5 Sumenep: Getaran Terasa di Blitar, Bali hingga Lombok    ",jakarta badan meteorologi klimatologi dan geofisika bmkg mencatat telah terjadi sejumlah gempa susulan usai gempa magnitudo m 65 yang mengguncang sumenep madura jawa timur getaran gempa m 65 terasa hingga ke wilayah bali dan lombokgempa susulan sebanyak empat kali ini terjadi hingga pukul 0029 wib rabu pagi dari kejadian awal pada pukul 2349 wib pada selasa 309 malam dengan magnitudo terbesar 44 kata direktur gempa bumi dan tsunami bmkg daryono dilansir antara rabu 1102025pusat gempa yang terjadi di kabupaten paling timur pulau madura tersebut berada pada koordinat 725 ls 11422 bt dengan episenter gempa berada di laut 50 km tenggara sumenep dan pulau sapudi sumenep di kedalaman 11 km scroll to continue with content baca juga gempa m 69 guncang filipina 5 orang tewasmenurut daryono jenis gempa bumi yang terjadi di sumenep itu adalah gempa tektonik yakni gempa dangkal yang disebabkan adanya aktivitas sesar aktif bawah laut advertisement gempa bumi ini berdampak dan dirasakan di daerah pulau sapudi vvi mmi semua orang merasakan getaran dan terjadi kerusakan ringan daerah sumenep pamekasan dan surabaya dengan skala intensitas iiiiv mmi getaran dirasakan nyata dalam rumah katanyagetaran gempa juga dirasakan di daerah tuban denpasar dan gianyar dengan skala intensitas iii mmi daerah tabanan buleleng kuta dan banyuwangi dengan skala intensitas iiiii mmi daerah lain yang terpantau juga merasakan getaran gempa di sumenep dan pulau sapudi itu adalah lombok utara kota mataram lombok tengah malang dan blitar dengan skala intensitas ii mmigetaran dirasakan oleh beberapa orang bendabenda ringan yang digantung bergoyang hasil pemodelan menunjukkan bahwa gempa bumi ini tidak berpotensi tsunami katanya menjelaskanpihak bmkg mengimbau agar masyarakat tetap tenang dan tidak terpengaruh oleh isu yang tidak dapat dipertanggungjawabkan kebenarannya warga terdampak juga diminta untuk menghindari dari bangunan yang retak atau rusak diakibatkan oleh gempapastikan informasi resmi hanya bersumber dari bmkg yang disebarkan melalui kanal komunikasi resmi yang telah terverifikasi katanyabaca juga sejumlah gempa susulan terjadi di sumenep madura halaman 2 dari 2 rfsrfs gempa sumenep gempa m 6 undefined bmkg getaran gempa gempa tektonik pulau madura gempa susulan dampak gempa,True
Firga Raditya Pamungkas - detikBali,gempa tabanan bali,https://www.detik.com/bali/berita/d-7708329/prakiraan-cuaca-bali-hari-ini-udara-kabur-di-badung-tabanan,2024-12-30 04:30:00,detik.com,"
        Prakiraan Cuaca Bali Hari Ini: Udara Kabur di Badung-Tabanan    ",daftar isi kota denpasar kabupaten buleleng kabupaten tabanan kabupaten badung kabupaten karangasem kabupaten jembrana kabupaten bangli kabupaten klungkung kabupaten gianyar denpasar berikut adalah prakiraan cuaca terbaru di bali untuk hari senin 30 desember 2024 berdasarkan rilis badan meteorologi klimatologi dan geofisika bmkg kondisi umumnya bervariasi dari berawan hingga hujan ringan tergantung pada masingmasing kabupatenkota sebelum melakukan aktivitas luar ruangan simak kondisi cuaca di berbagai wilayah bali pada tanggal tersebut agar lebih siap menghadapi cuaca di daerah andakota denpasarcuaca berawansuhu berkisar antara 24c hingga 28ckelembapan sekitar 82 hingga 95 scroll to continue with content kabupaten bulelengcuaca hujan ringansuhu berkisar antara 24c hingga 25ckelembaban sekitar 90 hingga 93 advertisement kabupaten tabanancuaca udara kabursuhu berkisar antara 22c hingga 24ckelembapan sekitar 93 hingga 96kabupaten badungcuaca udara kabursuhu berkisar antara 23c hingga 27ckelembapan sekitar 85 hingga 98kabupaten karangasemcuaca udara kabursuhu berkisar antara 21c hingga 24ckelembapan sekitar 94 hingga 98kabupaten jembranacuaca hujan ringansuhu berkisar antara 22c hingga 25ckelembapan sekitar 92 hingga 99kabupaten banglicuaca hujan ringansuhu berkisar antara 19c hingga 21ckelembapan sekitar 93 hingga 99kabupaten klungkungcuaca berawansuhu berkisar antara 26c hingga 28ckelembapan sekitar 80 hingga 91kabupaten gianyarcuaca berawansuhu berkisar antara 23c hingga 26ckelembapan sekitar 88 hingga 97itulah update cuaca bali untuk hari ini senin 30 desember 2024 berdasarkan pantauan dari bmkg wilayah iii denpasar semoga informasi ini membantu anda terutama bagi yang berencana beraktivitas di luar ruangan selamat menjalankan kegiatan detikersartikel ini ditulis oleh firga raditya pamungkas peserta magang bersertifikat kampus merdeka di detikcom video bmkg gelar latihan tsunami uji skenario gempa m 92 di utara sumatra video bmkg gelar latihan tsunami uji skenario gempa m 92 di utara sumatra hsahsa prakiraan cuaca bali cuaca badung cuaca tabanan bmkg suhu bali kelembapan udara udara kabur,True
Chairul Amri Simabur - detikBali,gempa tabanan bali,https://www.detik.com/bali/berita/d-6674883/ibu-dari-bocah-meninggal-akibat-gempa-m-6-6-masih-syok,2023-04-15 16:30:00,detik.com,"
        Ibu dari Bocah Meninggal Akibat Gempa M 6,6 Masih Syok    ",tabanan kepergian bocah berinisial mplm 5 akibat gempa magnitudo 66 pada jumat 1442023 sore membuat keluarga yang ditinggalkan terpukul sang ayah mengaku ikhlas meskipun menjadi orang yang terakhir bersama mplm saat gempa yang berpusat di barat laut tuban jawa timur itu terjadinamun kepergian mplm yang begitu mendadak masih terasa berat bagi istrinya ni made julianisaya sudah ikhlas mungkin begini jalannya tapi kalau istri saya belum dia masih syok kata juliarsana saat dijumpai di rumah mertuanya banjar lebah desakecamatan marga tabanan bali sabtu 1542023 scroll to continue with content baca juga bocah di tabanan teriakpeluk ayah sebelum meninggal akibat gempa m 66juliarsana menuturkan istrinya masih berada di koperasi tempatnya bekerja di kabupaten badung saat gempa mengguncang istri saya masih di tempat kerja tuturnyasebelum gempa juliarsana sebenarnya sedang siapsiap untuk berangkat kerja sore itu kebetulan pria yang bekerja sebagai sekuriti di salah satu toko di badung itu kebagian tugas jaga malam tinggal menunggu istrinya pulang ia akan berangkat ke tempat kerjanya advertisement juliarsana mengaku tidak punya firasat apapun sebelum anak keduanya itu meninggal meski begitu ia merasa si bungsu dari dua bersaudara itu agak anteng sebelum gempa terjadibiasanya korban agak rewel minta apa harus dituruti sempat juga main di sini rumah mertua terus sekitar jam lima sore korban minta balik ke kosan imbuhnyajenazah anaknya saat ini masih dititipkan di kamar jenazah rumah sakit umum daerah rsud tabanan pemakaman akan dilaksanakan pada minggu 1642023 besok di kampungnya banjar prasanghyang desa taman bali kecamatankabupaten banglibaca juga bocah 5 tahun di tabanan meninggal akibat gempa magnitudo 66juliarsana dan keluarga mempersiapkan keperluan upacara sebelum pemakaman dilakukan tadi sudah ada keputusan dari prajuru adat di kampung kurang lebih sore dikuburnya imbuhnyadiberitakan sebelumnya gempa bumi m 66 yang berpusat di tuban jawa timur itu juga terasa kuat di sebagian besar wilayah bali bahkan getaran gempa turut dirasakan oleh warga di nusa tenggara barat ntb hingga nusa tenggara timur ntt berdasarkan laporan bmkg gempa berada pada titik koordinat 629 lintang selatan ls dan 11192 bujur timur bt dengan kedalaman 632 kilometer kepanikan warga saat gempa m 61 guncang tuban kepanikan warga saat gempa m 61 guncang tuban iwsefr korban gempa tuban gempa tuban gempa m 6 6 berita tabanan berita bali terkini,True
Tim detikJateng - detikJateng,gempa tabanan bali,https://www.detik.com/jateng/jogja/d-6411306/indahnya-bamboo-dome-ktt-g20-bali-ada-peran-pakar-bambu-ugm-juga-lho,2022-11-17 13:56:00,detik.com,"
        Indahnya Bamboo Dome KTT G20 Bali, Ada Peran Pakar Bambu UGM Juga Lho!    ",solo bamboo dome di apurva kempinski nusa dua bali menjadi perbincangan di tengah acara konferensi tingkat tinggi ktt presidensi g20 indonesia bangunan indah di tepi pantai itu merupakan karya kolaborasi salah satunya pakar bambu dari universitas gadjah mada ugm ashar saputradalam keterangan tertulis dari humas ugm kamis 17112022 disebutkan bamboo dome itu sebagai lokasi presiden joko widodo jokowi menikmati santap siang makanan khas indonesia bersama para pemimpin dan delegasi g20bamboo dome itu merupakan mahakarya kolaborasi elwin mok visual creative consultant ktt g20 rubi roesli desainer bamboo dome dan ashar saputra scroll to continue with content ashar mengatakan kolaborasi itu berawal dari kontak teman penggiat bambu dari bali yang menawarkan kerja sama dengan panitia nasional g20 tawarannya ialah membuat lokasi jamuan makan para pemimpin dan delegasi g20para pegiat perajin bambu disediakan tiga minggu untuk menyelesaikan bamboo dome ini menuntut kerja sama yang intens antara arsitek perajin bambu dan saya untuk memastikan keamanannya kata ashar saputra advertisement baca juga cuaca cerah ktt g20 bali ternyata hasil modifikasi lho ini faktanyadosen departemen teknik sipil fakultas teknik ugm itu mengatakan ide pembuatan bangunan dengan bahan utama bambu itu mencari sesuatu yang unik bambu dipilih karena mudah dibentuk melengkung karena sifatnya yang lentur dan elastis bambu juga dikenal kuat atau tahan terhadap guncangan gempaidenya dari para desainer itu adalah di mana di saat dunia itu senang memilih yang artifisial justru bali masih memiliki yang original bambu jadi pilihan karena sudah menjadi keseharian masyarakat bali terangnyaashar menjelaskan bamboo dome dibangun menggunakan bambu apus sementara penyangganya memakai bambu petung dari tabanan yang dibawa ke gianyar untuk digarap oleh perajinpengerjaan bamboo dome dimulai dari menentukan pondasi menyusun lengkunglengkung utama sampai keseluruhan dapat diuji karena strukturnya lengkung pembuatan bangunan ini memiliki tantangan tersendiri yaitu dalam membentuk lengkungan yang estetik namun segi keamanan tetap bisa tercapaibaca juga rapat darurat biden dkk bikin agenda delegasi g20 di bali mundurberbeda dengan bangunan yang dibuat dari beton atau baja membangun bambu memiliki ketidaktentuannya yang cukup tinggi baik dari dimensi kematangan maupun kinerja sambungannyaashar mengungkapkan ada satu momen yang ia sebut sebagai moment of truth dalam proses pengerjaan bamboo dome sehari sebelum presiden joko widodo melakukan cek lokasi saat itu di nusa dua terjadi hujan lebat dan angin kencang selama dua jamkisah ashar selanjutnya di halaman berikutnya di titik ini saya menjadi yakin dengan keamanan struktur bangunan bamboo dome yang hampir 100 pengerjaannya ketika saya tidak dapat menguji secara langsung tetapi bangunan langsung diuji oleh alam kenangnyaashar pun mengapresiasi dan berterima kasih kepada para perajin bambu yang yang telah membantu dalam pengerjaan bamboo domesangat luar biasa betapa para perajin bambu dari desa gianyar ini sangat serius sungguhsungguh berkomitmen saya merasa bersyukur beruntung dan bangga dapat menjadi bagian dari kerja besar ini dan berharap dapat menyampaikan kepada masyarakat global bahwa di saat dunia cenderung memilih halhal yang artifisial tetapi kita masih punya yang masih orisinal urainyamelalui momen ini ia berharap bambu dapat dimanfaatkan dan diperkenalkan lebih baik kepada masyarakat ia juga berharap di masa depan ugm bisa membuat bangunan yang bagus lekat dengan indonesia dan dapat menjadi nilai tambah bagi masyarakatbaca juga modus kampus surabaya yang izinnya dicabut tak ada kuliah tapi beri ijazahashar dikenal sebagai peneliti yang giat mengkaji bambu awal keseriusannya meneliti bambu terjadi pada 2008 kala itu ia bekerja sama dalam pembangunan sekolah alam internasional yang seluruh bangunannya menggunakan bambu di bali dari awal kerja sama tersebut ia kenal dengan para penggiat bambusampai saat ini ashar telah bekerja sama dengan penggiat bambu untuk membuat bangunan bambu tak hanya di indonesia namun juga di beberapa negara seperti belgia cina dan india halaman 2 dari 2 dilams ugm pakar ugm g20 bali g20 2022 g20 berita jateng berita jogja,True
Arief Ikhsanudin - detikNews,gempa tabanan bali,https://news.detik.com/berita/d-7550801/gianyar-bali-diguncang-gempa-2-kali-pagi-ini,2024-09-21 07:58:00,detik.com,"
        Gianyar Bali Diguncang Gempa 2 Kali Pagi Ini    ",jakarta terjadi dua kali gempa bumi di gianyar bali gempa pertama berkekuatan magnitudo m 48 dan berpusat di daratmenurut badan meteorologi klimatologi dan geofisika bmkg gempa m 48 terjadi pada sabtu 2192024 pukul 0626 wib gempa tersebut berada pada koordinat 857 lintang selatan 11532 bujur timurberada di darat 3 km barat daya gianyar tulis bmkg scroll to continue with content pusat gempa berada pada kedalaman 22 km gempa dirasakan hingga ke lombok baratdirasakan mmi iv gianyar iii badung iii denpasar iii tabanan iii karangasem iii bangli ii buleleng ii mataram ii lombok barat tulis bmkg advertisement iv mmi berarti pada siang hari gempa dirasakan oleh orang banyak dalam rumah di luar oleh beberapa orang gerabah pecah jendelapintu berderik dan dinding berbunyi sementara iii mmi berarti getaran dirasakan nyata dalam rumah terasa getaran seakanakan ada truk berlalubaca juga rencana simulasi gempa megathrust skenario m 87 di jakartasementara itu gempa susulan terjadi pada pukul 0641 wib koordinat pusat gempa berada pada 859 lintang selatan dan 11533 bujur timur5 km barat daya gianyar bali kata bmkgpusat gempa kedua berada pada kedalaman 29 km dan berada di daratdisclaimer informasi ini mengutamakan kecepatan sehingga hasil pengolahan data belum stabil dan bisa berubah seiring kelengkapan data katanyasimak juga video korban gempa bandung terpaksa makan singkong di pengungsiangambasvideo 20detik aikaik gempa bali gempa bumi gianyar,True
Arief Ikhsanudin - detikNews,gempa tabanan bali,https://news.detik.com/berita/d-7528967/gempa-m-4-9-guncang-gianyar-bali-dirasakan-hingga-lombok-barat,2024-09-07 09:24:00,detik.com,"
        Gempa M 4,9 Guncang Gianyar Bali Dirasakan hingga Lombok Barat    ",jakarta gempa bumi dengan kekuatan magnitudo m 49 mengguncang gianyar provinsi bali gempa tersebut berpusat di daratmenurut badan meteorologi klimatologi dan geofisika bmkg gempa terjadi pada sabtu 792024 pukul 0851 wib gempa terjadi pada koordinat 850 lintang selatan dan 11533 bujur timur4 km barat laut gianyar bali tulis bmkg scroll to continue with content pusat gempa berada pada kedalaman 19 km belum ada informasi soal dampak gempa tersebut namun gempa dirasakan hingga lombok baratbaca juga gempa m 5 guncang intan jaya papua tengahgempa ini dirasakan mmi iiiiv gianyar iii tabanan iii badung iii denpasar iii klungkung iii mataram iii lombok barat tulis bmkg advertisement iv mmi berarti pada siang hari dirasakan oleh orang banyak dalam rumah di luar oleh beberapa orang gerabah pecah jendelapintu berderik dan dinding berbunyi sementara itu iii mmi yaitu getaran dirasakan nyata dalam rumah terasa getaran seakanakan ada truk berlalusimak juga video antisipasi megathrust bmkg akan teliti sumber gempa di gorontalogambasvideo 20detik aikdhn gempa bumi gempa gianyar,True
Widhia Arum Wibawana - detikNews,gempa tabanan bali,https://news.detik.com/berita/d-7551762/gempa-m-4-8-di-bali-21-september-2024-analisis-hingga-26-bangunan-rusak,2024-09-21 21:02:00,detik.com,"
        Gempa M 4,8 di Bali 21 September 2024: Analisis hingga 26 Bangunan Rusak    ",jakarta gempa bumi terjadi di wilayah gianyar bali hari ini sabtu 21 september 2024 terkait gempa hari ini bmkg hingga bpdb gianyar dan bali telah merilis informasi seputar analisis gempa hingga dampak kerusakan yang ditimbulkanberikut ini rangkuman informasi selengkapnyabaca juga gempa m 48 di gianyar pagar hingga genting rumah rusakkekuatan gempa bumi m 48menurut laporan bmkg gempa gianyar bali hari ini memiliki kekuatan magnitudo m 48 gempa yang terjadi pada sabtu 21 september 2024 ini berpusat di daratan kedalaman 22 kilometer km yakni pada 3 km barat daya dari gianyar scroll to continue with content parameter gempabumi 21092024 062620 wib magnitudo 48 kedalaman 22 km lokasi 857 ls 11532 bt pusat gempa berada di darat 3 km baratdaya gianyar demikian keterangan tertulis dari laporan yang dilansir bmkgparameter gempa gianyar bali 21 september 2024 foto dok bmkgdaftar wilayah yang terdampaksedikitnya ada delapan wilayah yang merasakan dampak dari getaran gempa gianyar hari ini mengutip dari laporan bmkg berikut daftar wilayah yang terdampak akan getaran gempa berkekuatan m 48 hari ini beserta skala mminya advertisement iv gianyariii badungiii denpasariii tabananiii karangasemiii bangliii bulelengii mataramii lombok baratbaca juga analisis gempa gianyar m 48 pagi ini bmkg catat 1 gempa susulananalisis jenis dan penyebabkepala pusat gempabumi dan tsunami bmkg daryono menjelaskan gempa gianyar bali berkekuatan m 48 hari ini merupakan jenis gempa dangkal akibat aktivitas sesar aktif di darat daryono menyebut gempa ini memiliki mekanisme sumber kombinasi sesar turungeser oblique normaldengan memperhatikan lokasi episenter dan kedalaman hiposenternya gempa yg terjadi merupakan jenis gempa dangkal akibat aktivitas sesar aktif di darat hasil analisis mekanisme sumber menunjukkan bahwa gempa memiliki mekanisme sumber kombinasi sesar turungeser oblique normal terangnya sabtu 2192024tercatat 1 kali gempa susulanmenurut hasil monitoring bmkg terkini telah terjadi 1 kali aktivitas gempabumi susulan aftershock setelah gempa utama berkekuatan m 48 gempa susulan berkekuatan m 28 terjadi pukul 0641 wibhingga hari sabtu 21 september 2024 pukul 0742 wita hasil monitoring bmkg menunjukkan telah terjadi 1 kali aktivitas gempabumi susulan aftershock dengan m28 pukul 064126 wib ujar daryono dalam keterangan tertulissejumlah rumah warga rusakdampak gempa m 48 di gianyar bali mengakibatkan sejumlah bagunan rumah warna mengalami kerusakan daryono menyebut terdapat laporan pagi tadi adanya kerusakan yang terjadi pada pagar rumah warga yang terbuat dari batubatadampak gempa m 48 gianyar bali pada tanggal 21 september 2024 pukul 0726 wita dilaporkan satu bangunan rumah rusak ringan genteng rontok di barak kutri desa singapadu tengah kecamatan sukawati kabupaten gianyar tambahnyabaca juga bpbd bali catat 26 kerusakan bangunan akibat gempa m 48 terbanyak di badungsimak berita selengkapnya di halaman selanjutnya bpbd catat 26 bangunan rusakbadan penanggulangan bencana daerah bpbd bali mencatat puluhan kerusakan bangunan akibat gempa m 48 yang mengguncang gianyar bali pagi ini kerusakan bangunan terbanyak terjadi di wilayah kabupaten badung bangunan yang terdampak dari rumah warga sekolah hingga purarekapitulasi laporan situasi dampak gempa bumi tanggal 21 september 2024 terdapat 26 informasi kerusakan bangunan dan nihil informasi korban jiwa ujar kepala pelaksana kalaksa bpbd bali i made rentin melalui keterangan tertulis yang diterima detikbali sabtu 2192024sementara itu bpbd gianyar mencatat sebanyak 9 titik kerusakan akibat gempa beberapa jenis kerusakan tersebut antara lain atap sekolah jatuh tembok pembatas roboh hingga dinding rumah retakretak selain itu getaran juga terasa di beberapa pura hingga candiberikut daftar bangunan terdampak gempa gianyar bali hari inigianyargenteng jatuh di sdn 2 keramas blahbatuhtembok penyengker puri agung blahbatuh rusakpadamasana pura puseh abianbase sisi atas bangunan retak dan berjatuhanbeberapa bangunan di pura gunung jimbar beng gianyar rusak dan retakcandi bentar pura dalem gede desa adat bon biu blahbatu mudra rusak dan berjatuhanrumah warga retak di desa manukaya tampaksiringbangunan smp 3 ubud rusak ringanbangunan sd 5 bedulu gianyar rusak ringanbangunan pura dalem suwat desa suwat rusak ringanbadungatap sd 4 sibang kaja rusakatap tk darmawangsa sibang kaja rusakrumah warga rusakatap rusak di sd 2 sibang kajaatap rusak di bale banjar pane sibangatap rusak sd 2 sadingatap rusak di pustu sadingatap rusak di banjar grokgak sempidiatap rusak di kantor bpr sadana sempidiatap rusak di sd 1 sempidirumah warga lingkungan ubung sempidi atap rusakrumah warga banjar asan sedang atap rusakdua rumah warga di banjar aseman sedang atap rusaktembok rumah warga roboh di banjar sigaran sedangbale banjar sigaran sedang atapnya rusakdenpasarsatu rumah rusak di banjar anggabaya penatih denpasar timur halaman 2 dari 2 wiajbr gempa gempa hari ini gempa bumi gianyar bali gempa gianyar gempa bali,True
Yogi Ernes - detikNews,gempa tabanan bali,https://news.detik.com/berita/d-8138831/4-dinding-rumah-warga-di-sumenep-roboh-usai-diguncang-gempa-m-6-5,2025-10-01 08:10:00,detik.com,"
        4 Dinding Rumah Warga di Sumenep Roboh Usai Diguncang Gempa M 6,5    ",jakarta gempa magnitudo m 65 mengguncang sumenep madura tengah malam tadi bnpb mencatat ada empat rumah warga di kabupaten sumenep yang terdampak akibat gempa tersebutgempa bumi tersebut telah menyebabkan empat rumah warga di kabupaten sumenep mengalami kerusakan di bagian dinding hasil laporan visual kondisi dinding rumah warga roboh dan puing berserakan jatuh ke tanah kata kepala pusat data informasi dan komunikasi kebencanaan bnpb abdul muhari kepada wartawan rabu 1102025laporan kerusakan di empat rumah itu merupakan hasil monitoring sementara yang dilakukan bnpb per pukul 0100 wib dini hari tadi abdul mengatakan belum ada laporan adanya korban jiwa akibat gempa di sumenep scroll to continue with content baca juga korban tewas gempa filipina bertambah jadi 19 orangdata sementara untuk wilayah terdampak di kabupaten sumenep meliputi empat kecamatan seperti gayam nonggunong talango dan saronggi ujar abdulgempa di sumenep ini terjadi pada selasa 309 pukul 2349 wib pusat gempa berada di dasar laut dengan titik koordinat 725 ls dan 11422 bt gempa tersebut tidak berpotensi tsunami advertisement data bnpb menunjukkan gempa sumenep juga sempat dirasakan di sejumlah daerah di bali mulai kabupaten gianyar buleleng tabanan denpasar sampai kuta di provinsi bali gempa dirasakan lemah hingga sedang selama 35 detiksementara di wilayah provinsi jawa timur guncangan dirasakan sedang hingga kuat selama 320 detik di sebagian besar kotakabupaten di pulau madura kota surabaya kabupaten banyuwangi kabupaten situbondo kabupaten probolinggo kota gresik hingga kabupaten mojokertobaca juga sejumlah gempa susulan terjadi di sumenep madurasebagian besar warga di radius tersebut berhamburan ke luar rumah setelah merasakan guncangan gempa yang terasa secara tibatiba ujar abdulbnpb juga mengimbau warga tidak panik terkait gempa m 65 di sumenep namun bnpb mengingatkan akan adanya potensi gempa susulantonton juga video kondisi kerusakan sejumlah bangunan di sumenep usai gempa m 65 di sinigambasvideo 20detik ygszap gempa sumenep bnpb gempa bumi madura,True
