author,keyword,link,publish_date,source,title,cleaned_content,is_valid
"Fabiola Dianira, Selamat Juniasa, Dewa Made Krisna Pradipta - detikBali",longsor tabanan bali,https://www.detik.com/bali/berita/d-8105693/longsor-terjang-badung-tabanan-dan-karangasem-akibat-hujan-dua-hari,2025-09-10 17:32:00,detik.com,"
        Longsor Terjang Badung, Tabanan, dan Karangasem Akibat Hujan Dua Hari    ",badung hujan lebat disertai angin kencang menyebabkan tanah longsor di kecamatan petang kabupaten badung bali rabu 1092025 peristiwa terjadi sekitar pukul 0600 wita di lingkungan banjar abing desa sulangaiseorang warga setempat made pendiartawan awalnya ingin melihat keadaan sekitar kemudian ia mendapati bahwa selatan rumahnya tanah sudah longsor menutupi jalanbaca juga korban tewas akibat banjir di jalan kerobokancanggu terseret hingga 2 km scroll to continue with content sekira pukul 0600 wita pada saat saksi hendak keluar dari rumahnya untuk melihat keadaan sekitar saksi melihat di sebelah selatan rumahnya sudah ada tanah longsor yang menutupi akses jalan ujar pejabat sementara ps kasubsi penmas sihumas polres badung aiptu ni nyoman ayu inastuti saat dihubungi tim detikbali rabu 1092025 advertisement beruntung tidak ada korban jiwa maupun kerugian materiil dalam kejadian ini namun tanah longsor tersebut menutupi akses jalan menuju banjar abing desa sulangai dan sebaliknya sehingga arus lalu lintas tersendat untuk sementara kendaraan dialihkan melalui jalur pura pucak tedungpolsek petang bersama dengan tim desa tanggap bencana destana sulangai dan masyarakat kemudian melakukan penanganan awal dengan membersihkan material pohon dan ranting agar akses jalan bisa kembali dilaluitanah longsor akibat hujan lebat di kecamatan petang badung rabu 1092025dok polres badung foto tanah longsor akibat hujan lebat di kecamatan petang badung rabu 1092025dok polres badungpohon tumbanglongsor landa karangasempohon tumbang banjir dan tanah longsor melanda hampir seluruh wilayah di kabupaten karangasem bali bencana tersebut akibat hujan deras mengguyur selama dua hari tanpa henti beruntung bencana tersebut tidak menyebabkan adanya korban jiwa maupun lukakepala pelaksana kalaksa bpbd karangasem ida bagus ketut arimbawa mengatakan bahwa bencana tersebut terjadi di tujuh kecamatan di karangasem hanya kecamatan kubu yang sampai saat ini tidak ada laporan bencanabaca juga sungai yeh ho meluap jalan penghubung kecamatan tabanankediri lumpuhsampai sore hari ini ada sebanyak 42 laporan bencana yang masuk ke bpbd kata arimbawa rabu 1092025bencana paling banyak terjadi di kecamatan manggis dengan total 13 kejadian kecamatan sidemen total 11 kejadian kecamatan rendang 7 kejadian kecamatan bebandem dan selat 4 kejadian kecamatan karangasem 2 kejadian dan kecamatan abang 1 kejadianpuluhan bencana tersebut lebih didominasi tanah longsor banjir dan pohon tumbang sebagian besar bencana telah berhasil ditangani oleh petugas bersama dengan instansi terkait dan juga masyarakat setempatuntuk penanganan kami lebih fokus ke bencana yang melanda fasilitas umum seperti akses jalan yang tertutup longsor atau tertimpa pohon tumbang ujar arimbawasementara itu bpbd karangasem telah berkoordinasi dengan dinas pupr karangasem terkait ruas jalan yang tertutup longsor dengan material yang cukup banyak disertai bebatuan supaya bisa menurunkan alat berat untuk melakukan pembersihan material longsoran agar bisa dilalui oleh kendaraan kembalikami masih siaga 24 jam bersama dengan seluruh personel sebagai langkah antisipasi jika seandainya kembali ada laporan bencana dan membutuhkan penanganan supaya bisa langsung bergerak ke lokasi kejadian ucap arimbawabaca juga 13 mobilmotor di basement graha yowana terendam banjirmengingat wilayah karangasem masih dilanda hujan deras hingga saat ini seluruh masyarakat diimbau untuk selalu waspada terhadap potensi bencana yang kemungkinan terjadilongsor di tabananlongsor terjadi di sebelah rumah warga di banjar bajera tengah desa bajera kecamatan selemadeg tabanan istimewa salah satu warga di banjar bajera tengah desa bajera kecamatan selemadeg tabanan resah pasalnya lahan di sebelah rumahnya longsor yang kini bisa merembet ke kediamannya mega warga banjar bajera tengah saat dihubungi detikbali mengaku khawatir longsor meluas dan menimpa rumahnyaterbaru longsor kembali terjadi pada rabu 1092025 dini hari akibat hujan deras sejak selasa malam bahkan akses jalan menuju pintu gerbang rumahnya tertutup timbunan walhasil keluarganya sempat terisolasi dan terpaksa menitipkan kendaraan di depan gang menuju kediamannyasebenarnya sejak lima tahun lalu longsor di depan pintu rumah kemudian dini hari tadi longsornya meluas saya khawatir kejadiannya menimpa rumah harapan saya senderan segera dibangun agar longsor tidak merembet ke rumah tegas megakata mega lahan longsor tersebut bukan milik keluarganya dari informasi yang ia dapatkan kabarnya lahan tersebut milik pemerintah kabupaten tabananagar tak menimbulkan hal yang tak diinginkan kejadian tersebut sudah dilaporkan ke pemkab tabanan dan diharapkan segera mendapat atensisebelum longsor yang sekarang kami membangun senderan dan perbaikan menggunakan dana pribadi tandasnya video banjir di kemang raya lalin dialihkan ke antasari video banjir di kemang raya lalin dialihkan ke antasari nornor hujan deras tanah longsor bencana di bali banjir di bali longsor di bali,True
Ahmad Firizqi Irwan - detikBali,longsor tabanan bali,https://www.detik.com/bali/foto/d-7241607/potret-longsor-di-jatiluwih-tabanan-yang-tewaskan-dua-turis-asing,2024-03-14 16:21:00,detik.com,"
        Potret Longsor di Jatiluwih Tabanan yang Tewaskan Dua Turis Asing    ",tabanan longsor terjadi di vila desa jatiluwih kecamatan penebel tabanan bali kamis pagi 1432024 dua turis asing dari belanda dan as tewas tertimbun longsor,True
Wilda Hayatun Nufus - detikNews,longsor tabanan bali,https://news.detik.com/berita/d-8106059/banjir-dan-longsor-terjang-bali-polri-bantu-evakuasi-warga-terdampak,2025-09-10 21:15:00,detik.com,"
        Banjir dan Longsor Terjang Bali, Polri Bantu Evakuasi Warga Terdampak    ",jakarta banjir dan longsor melanda sejumlah daerah di bali polda bali membantu evakuasi dan menyelamatkan warga yang terdampak ke pengungsiankapolda bali irjen daniel adityajaya mengatakan pihaknya berfokus memastikan seluruh korban dievakuasi dengan cepat dan aman tak hanya itu menurut daniel pihaknya juga akan memastikan seluruh kebutuhan warga di pengungsian terpenuhikami bersama instansi terkait terus berupaya menyelamatkan warga terdampak khususnya mereka yang berada di wilayah sulit dijangkau evakuasi korban menjadi prioritas di samping memastikan kebutuhan dasar di pengungsian tetap terpenuhi ujarnya kepada wartawan rabu 1092025 scroll to continue with content kapolda bali memantau situasi banjir dok polribaca juga duka pulau dewata diterjang banjir hingga jatuh korban jiwadaniel menerangkan hingga kini tim gabungan masih mengevakuasi warga yang tinggal di daerah rawan longsor dia menyebutkan pihaknya akan terus menyisir daerah yang terdampak untuk mencegah korban bertambah advertisement lebih lanjut daniel meminta masyarakat tetap waspada terhadap potensi bencana susulan dia menyebutkan curah hujan yang masih tinggi diperkirakan dapat menimbulkan risiko tambahan di daerah perbukitan maupun bantaran sungaimasyarakat juga diminta terus mengikuti arahan petugas dan segera mengungsi apabila situasi dirasa membahayakanbanjir dan longsor menerjang bali polri membantu evakuasi warga terdampak dok polridaniel memaparkan data sementara sebanyak 7 orang meninggal dunia dan 47 mengalami lukaluka akibat bencana banjir dan longsor di bali sementara itu 237 warga mengungsi ke lokasi penampunganbanjir dan longsor menerjang bali polri membantu evakuasi warga terdampak dok polriseperti diketahui badan nasional penanggulangan bencana bnpb mengatakan banjir melanda empat wilayah administrasi kota dan kabupaten di provinsi bali wilayah terdampak banjir berada di kabupaten jembrana gianyar tabanan klungkung dan kota denpasarbnpb mengatakan banjir di wilayah bali terjadi sejak selasa 99 malam banjir terjadi setelah hujan lebat mengguyur sejumlah wilayah semalam sejak pukul 2315 wibdi kabupaten jembrana banjir terjadi di beberapa titik bnpb juga mencatat banjir di jembrana menimbulkan dua korban jiwadata sementara yang diterima bnpb pada rabu 109 pukul 1130 wib menyebutkan dua warga meninggal dan 103 kk 200 jiwa terdampak di kabupaten jembrana kata kepala pusat data informasi dan komunikasi kebencanaan bnpb abdul muhari dalam keterangan kepada wartawan rabu 109 whnhri bali banjir longsor evakuasi polri bencana alam polda bali,True
Dok. Bank BTN - detikNews,longsor tabanan bali,https://news.detik.com/foto-news/d-6824634/penyaluran-bantuan-untuk-korban-bencana-di-bali,2023-07-14 01:47:00,detik.com,"
        Penyaluran Bantuan untuk Korban Bencana di Bali    ",bali guna meringankan korban bencana banjir dan longsor di tabanan bali bantuan paket sembako pun disalurkan demi meringankan penderitaan masyarakat ini potretnya,True
Ahmad Firizqi Irwan - detikNews,longsor tabanan bali,https://news.detik.com/berita/d-7771457/waspada-cuaca-ekstrem-di-tabanan-bali-satgas-siaga-bencana-disiagakan,2025-02-10 14:39:00,detik.com,"
        Waspada Cuaca Ekstrem di Tabanan Bali, Satgas Siaga Bencana Disiagakan    ",jakarta badan penanggulangan bencana daerah bpbd kabupaten tabanan mengimbau masyarakat tetap waspada menghadapi cuaca ekstrem yang terjadi sejak minggu 92 satgas siaga bencana disiapkan untuk menangani dampak bencana ekstrem tersebutkami sudah imbau masyarakat agar tetap waspada mengingat situasinya masih tidak memungkinkan beraktivitas di luar rumah kata kepala bpbd kabupaten tabanan i nyoman srinadha giri dilansir detikbali senin 1022025personel gabungan disiagakanbpbd kabupaten tabanan telah menyiapkan 35 anggota yang berjaga secara bergantian selain itu masyarakat dan pihak terkait seperti kepolisian serta tni turut membantu dalam penanganan bencana di tabanan scroll to continue with content baca juga hujan deras dan angin kencang di bali 19 pohon tumbang hingga longsorkapolres tabanan akbp chandra citra kesuma menegaskan pihaknya juga menerjunkan 100 personel untuk membantu penanganan bencana di wilayah tersebutsatgas siaga bencana yang kami siapkan ada 100 personel dari samapta lantas binmas dan lainnya kata chandra advertisement berdasarkan data yang diterima sejak minggu 92 terdapat sedikitnya 13 laporan bencana yang didominasi oleh pohon tumbang serta atap rumah rusak akibat angin kencangsimak selengkapnya di sinilihat juga video sejumlah bangunan di tabanan rusak imbas cuaca ekstremgambasvideo 20detik yldidh cuaca ekstrem bpbd tabanan tabanan bali cuaca ekstrem bali,True
Ahmad Firizqi Irwan - detikBali,longsor tabanan bali,https://www.detik.com/bali/berita/d-7617921/8-bencana-alam-landa-tabanan-dalam-sehari-pohon-tumbang-longsor,2024-11-01 18:32:00,detik.com,"
        8 Bencana Alam Landa Tabanan dalam Sehari, Pohon Tumbang-Longsor    ",buleleng hujan lebat disertai angin kencang terjadi di wilayah kabupaten tabanan jumat 1112024 hujan angin tersebut menyebabkan tujuh pohon tumbang hingga satu kejadian tanah longsortercatat sudah ada delapan laporan yang kami tangani di awal november 2024 ini baik pohon tumbang dan tanah longsor ujar kepala pelaksana badan penanggulangan bencana daerah bpbd kabupaten tabanan i nyoman srinadha giri dikonfirmasi detikbali jumat 1112024baca juga angin kencang terjang buleleng atap rumah terbangpohon tumbangbpbd harus bekerja ekstra karena mendapat laporan bencana di hari dan waktu yang bersamaan setelah beberapa menit hujan angin mengguyur tabanan petugas dibagi menjadi beberapa tim untuk menangani bencana alam yang terjadi pukul 1245 wita tersebut scroll to continue with content di kecamatan pupuan pohon nyantuh tumbang hingga menutup akses jalan di pura beji banjar bongan kelod desa bongan pohon bambu tumbang dan menghalangi akses warga menuju puradi terminal kediri banjar taman sari anyar desa banjar anyar kecamatan kediri juga terjadi pohon tumbang hingga menimpa atap rumah warga di banjar demung desa demung kecamatan kediri pohon sentol tumbang hingga menutupi jalan advertisement di desa kabakaba kecamatan kediri yang berbatasan dengan desa munggu kecamatan mengwi badung pohon waru tumbang hingga menimpa pelinggih pura anyar bpbd tabanan juga menangani pohon tumbang yang menimpa rumah dan garasi milik eka puspita di perumahan bca multi jadi blok 9dari beberapa kejadian pohon tumbang baru satu yang tercatat melaporkan kerugian tepatnya di perum bca multi jadi itu kerugian mencapai rp 2 juta jelas srinadhabaca juga 2 warungtempat penetasan penyu di buleleng rusak diterjang angin kencangbpbd tabanan juga menangani tanah longsor di desa pujungan kecamatan pupuan siang tadi longsor membuat bangunan balai keluarga dan halaman milik warga tertimbun tanahtidak ada korban jiwa hanya kerugian materil saja kami imbau agar masyarakat tetap waspada dan segera melapor ke kami jika ingin mendapatkan penanganan segera pungkas srinadha video pohon besar tumbang timpa mobil di dharmawangsa video pohon besar tumbang timpa mobil di dharmawangsa nornor tabanan pohon tumbang bencana alam bpbd tabanan angin kencang cuaca ekstrem,True
I Dewa Made Krisna Pradipta - detikBali,longsor tabanan bali,https://www.detik.com/bali/berita/d-7826089/badung-siap-patahkan-tabanan-jadi-juara-umum-petanque-di-porprov-bali-2025,2025-03-16 18:20:00,detik.com,"
        Badung Siap Patahkan Tabanan Jadi Juara Umum Petanque di Porprov Bali 2025    ",badung pengurus kabupaten pengkab federasi olahraga petanque indonesia fopi badung siap mematahkan dominasi tabanan yang langganan juara umum cabang olahraga petanque dalam ajang pekan olahraga provinsi porprov bali 2025 tabanan menargetkan meraih minimal 3 emasketua harian pengkab fopi badung sekaligus pelatih kepala tim petanque porprov badung i nengah ardina mengatakan tekad itu sebagai bentuk motivasi agar para atlet terpacu menjadi yang terbaik sekaligus membangkitkan rasa jengah karena dalam porprov bali badung selalu di peringkat ketiga mudahmudahan kali ini bisa lebih baik dan menjadi juara umum tegas nengah ardina saat dihubungi detikbali minggu 1632025baca juga pobsi bali izinkan pebiliar lintas divisi di porprov 2025ardina optimistis menjadi juara umum karena berkaca dari kejuaraan petanque pasca porprov bali 2022 berakhir di mana kekuatan kabupatenkota di bali merata saat ini scroll to continue with content waktu di porprov bali 2022 kami hanya kalah perak dengan buleleng di porprov bali kali ini target kami minimal 3 emas kata ardinafopi badung juga telah mendefinitifkan skuadnya sebanyak 18 atlet putra maupun putri dari belasan orang itu 50 persen adalah muka lama yang pernah berlaga di porprov bali 2022 advertisement sisanya hasil penjaringan di berbagai event seperti porjar badung dan kejuaraan lainnya termasuk dua atlet yang meraih dua emas di porprov bali terakhir masih kami pertahankan ujar ardinadalam porprov bali 2025 mendatang cabang olahraga petanque mempertandingkan 13 kategori mulai dari shooting mix dan beregu putraputri venue pertandingan digelar di taman kota lumintang denpasar utara video longsor tutup akses jalan warga di badung bali video longsor tutup akses jalan warga di badung bali nornor badung tabanan porprov bali 2025 petanque fopi badung,True
Ahmad Firizqi Irwan - detikBali,longsor tabanan bali,https://www.detik.com/bali/berita/d-7618623/bmkg-ungkap-penyebab-hujan-es-di-tabanan-bali,2024-11-02 11:34:00,detik.com,"
        BMKG Ungkap Penyebab Hujan Es di Tabanan Bali    ",denpasar badan meteorologi klimatologi dan geofisika bmkg memberi penjelasan terkait fenomena hujan es yang terjadi di sejumlah wilayah di kabupaten tabanan bali hujan deras yang disertai butiran es itu cukup menghebohkan warga hingga viral di media sosial pada jumat 1112024prakirawan bmkg wilayah iii denpasar diana hikmah mengungkapkan sebagian besar wilayah bali diguyur hujan ringan hingga lebat pada jumat siang menurutnya fenomena hujan es di tabanan disebabkan karena aliran udara yang turun cukup kuat sehingga menciptakan awan cumulonimbuskemudian didukung oleh suhu permukaan yang rendah atau dingin sehingga hujan yang turun juga disertai dengan butiran es jelas diana sabtu 2112024 scroll to continue with content baca juga hujan es terjadi di tabanan balidiana menjelaskan bali sedang memasuki peralihan musim yang bersamaan dengan aktifnya gelombang rossby ekuator hal itu diikuti dengan pertumbuhan awan konvektif yang menyebabkan hujan lebat termasuk hujan esberdasarkan radar bmkg dia berujar hujan es yang terjadi di wilayah kecamatan kediri tabanan hanya berlangsung singkat sekitar 10 menit menurut diana fenomena hujan es memang jarang ditemukan advertisement meski begitu fenomena itu dapat terjadi ketika peralihan musim pancaroba terutama di daerah yang memiliki suhu permukaan cukup dingin karena kondisi cuaca yang dapat berubah secara tibatiba pada masa pancaroba imbuhnyawarga bali dia melanjutkan tidak perlu khawatir dengan fenomena hujan es yang berlangsung singkat di tabanan itu namun ia mengimbau warga agar tetap waspada dan mengantisipasi potensi cuaca ekstrem yang dapat terjadi sewaktuwaktutidak hanya hujan es hujan lebat disertai kilat angin kencang serta puting beliung juga harus diwaspadai pungkas dianafenomena hujan es tersebut sempat diabadikan oleh kadek ardana salah seorang warga sanggulan kecamatan kediri tabanan ia mengungkapkan hujan awalnya turun seperti hujan biasabaca juga 8 bencana alam landa tabanan dalam sehari pohon tumbanglongsorsaat diperhatikan ardana berujar ternyata tidak hanya air yang turun di rumahnya ia menyebut ada butiranbutiran es seukuran kerikil hingga suaranya cukup berisik ketika menimpa atap rumahardana juga mengabadikan momen hujan es itu lewat rekaman video dalam video berdurasi 52 detik tersebut terlihat hujan deras disertai es berjatuhan di halaman rumah video hujan es lainnya juga banyak dibagikan di media sosialdi antaranya ada hujan es yang menimpa atap seng yang menimbulkan suara cukup kencang ada pula pengendara mobil yang terpaksa berhenti di jalan karena butiranbutiran es berjatuhan bersama hujan menerpa kaca dan atap kendaraannya video lainnya menunjukkan warga mengambil butiran es dari halaman rumah video hujan es disertai angin kencang landa 4 kecamatan di bogor video hujan es disertai angin kencang landa 4 kecamatan di bogor iwsiws bmkg hujan es di bali hujan es di tabanan hujan es penyebab hujan es berita bali terkini,True
"Putu Krista, Ahmad Firizqi Irwan - detikBali",longsor tabanan bali,https://www.detik.com/bali/berita/d-7419219/hujan-deras-tanah-longsor-pohon-tumbang-terjadi-di-tabanan,2024-07-02 14:44:00,detik.com,"
        Hujan Deras, Tanah Longsor-Pohon Tumbang Terjadi di Tabanan    ",tabanan tanah longsor dan pohon tumbang terjadi di dua wilayah di kabupaten tabanan bali akibat hujan deras yang mengguyur selasa 272024 bencana tersebut sempat mengganggu akses jalankepala pelaksana kalaksa badan penanggulangan bencana daerah bpbd kabupaten tabanan i nyoman srinadha giri mengatakan longsor dan pohon tumbang terjadi di sebelah barat jembatan sanggulan jalan gatot subroto kecamatan kediri tabanan pada selasa pagiiya tadi pagi jam 8 ada tanah longsor dan pohon tumbang akibat hujan deras sempat menutup sebagian akses jalan tapi sudah kami pulihkan kata srinadha scroll to continue with content baca juga karangasem diterjang 270 bencana selama enam bulan kerugian rp 34 miliartidak hanya di lokasi tersebut pohon tumbang juga terjadi di kawasan wisata alas kedaton desa kukuh kecamatan marga tabanan pada pukul 0900 wita atau satu jam setelah kejadian di sanggulansetelah menerima informasi dari staf desa kukuh tim reaksi cepat trc regu 4 bpbd kabupaten tabanan datang untuk membantu penanganan akibat kejadian itu seluruh badan jalan tertutup pohon berukuran besar yang tumbang advertisement satu jam setelah bencana di sanggulan kami terima informasi pohon tumbang di kawasan wisata alas kedaton tidak ada korban lukaluka maupun korban jiwa dari kejadian hari ini tandas srinadhapohon tumbang timpa tiang listrik di klungkungsementara itu sebuah pohon pule tumbang menimpa tiang listrik di desa selat klungkung imbasnya akses jalan warga tertutup dan jaringan listrik kawasan desa selat ikut padam selasa 272024tim reaksi cepat trc sudah melakukan penanganan sekitar pukul 1330 wita dengan memotong pohon kemudian memindahkan ke sisi jalan agar jalan bisa digunakan warga kata kalaksa bpbd klungkung i putu widiadasementara untuk tiang listrik dan jaringan kabel yang putus langsung ditangani oleh pln di lokasi hujan deras makanya pln harus turun juga memastikan kondisi listrik aman atau tidak imbuhnyawidiada menyebut selama hujan dari senin malam tim reaksi cepat sudah bersiaga potensi bencana meningkat karena angin juga berembus kencang beberapa laporan kejadian pohon tumbang langsung ditangani bpbd dari malam hingga dini harikami waspadai jika sewaktuwaktu ada laporan pohon tumbang atau bencana lain trc siap turun ke lapangan pungkasnyabaca juga gudang bpbd bali berisi masker terbakar kerugian capai rp 79 miliar video pohon besar tumbang timpa mobil di dharmawangsa video pohon besar tumbang timpa mobil di dharmawangsa hsadpw pohon tumbang bpbd tabanan tanah longsor bencana di tabanan berita tabanan,True
Ahmad Firizqi Irwan - detikBali,longsor tabanan bali,https://www.detik.com/bali/berita/d-7306920/rumah-warga-di-tabanan-tertimbun-longsor,2024-04-23 18:09:00,detik.com,"
        Rumah Warga di Tabanan Tertimbun Longsor    ",tabanan cuaca buruk melanda kawasan tabanan bali menyebabkan tanah longsor satu rumah warga di desa antapan kecamatan baturiti dilaporan tertimbun longsorkasi humas polres tabanan iptu i gusti made berata mengatakan kejadian tanah longsor itu terjadi pada senin malam namun baru dilaporkan hari ini rumah yang tertimbun longsor itu milik i wayan hapri kartika nata 61saat kejadian korban duduk di luar saat hujan deras tibatiba tebing di samping rumahnya tergerus dan menimpa rumah korban di sebelah kiri kata made berata selasa 2342024 scroll to continue with content baca juga bupati tabanan hadiri ngupasaksi dewa yadnya lan rsi yadnya di desa sesandanakibat kejadian itu rumah kartika jebol dan kerugian ditaksir mencapai lebih dari rp 50 juta setelah kejadian itu polisi berkoordinasi dengan bpbd tabanan untuk membantu proses pembersihan material dibantu koramil baturiti dan warga setempattak ada korban jiwa dalam kejadian itu hanya saja kartika harus mengungsi ke rumah kerabat karena rumahnya belum bisa digunakan lagi advertisement tanah longsor juga sudah dibersihkan secara gotong royong imbuhnya video longsor di trenggalek 4 orang tewas tertimbun video longsor di trenggalek 4 orang tewas tertimbun dpwiws tanah longsor tabanan bali,True
